"Emergency","Module_Name","Modupe_Type","Value","Updated_at"
"liberia","Registered Refugee Population","Total Population & Demogrpahy",51778,2012-06-30
"liberia","Registered Refugee Population","Total Population & Demogrpahy",52524,2012-05-31
"liberia","Registered Refugee Population","Total Population & Demogrpahy",52786,2014-01-01
"liberia","Registered Refugee Population","Total Population & Demogrpahy",54618,2013-12-01
"liberia","Registered Refugee Population","Total Population & Demogrpahy",57436,2012-08-31
"liberia","Registered Refugee Population","Total Population & Demogrpahy",57724,2013-11-01
"liberia","Registered Refugee Population","Total Population & Demogrpahy",58276,2013-08-02
"liberia","Registered Refugee Population","Total Population & Demogrpahy",58331,2013-10-01
"liberia","Registered Refugee Population","Total Population & Demogrpahy",58484,2013-07-01
"liberia","Registered Refugee Population","Total Population & Demogrpahy",58710,2013-09-02
"liberia","Registered Refugee Population","Total Population & Demogrpahy",58965,2012-09-30
"liberia","Registered Refugee Population","Total Population & Demogrpahy",59642,2013-06-05
"liberia","Registered Refugee Population","Total Population & Demogrpahy",59822,2012-11-09
"liberia","Registered Refugee Population","Total Population & Demogrpahy",60385,2013-05-07
"liberia","Registered Refugee Population","Total Population & Demogrpahy",60432,2013-01-16
"liberia","Registered Refugee Population","Total Population & Demogrpahy",60752,2013-02-03
"liberia","Registered Refugee Population","Total Population & Demogrpahy",61153,2013-04-03
"liberia","Registered Refugee Population","Total Population & Demogrpahy",61171,2012-12-04
"liberia","Registered Refugee Population","Total Population & Demogrpahy",61587,2012-04-30
"liberia","Registered Refugee Population","Total Population & Demogrpahy",61703,2013-04-01
"liberia","Registered Refugee Population","Total Population & Demogrpahy",64620,2012-03-31
"southsudan","Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",378016,2014-06-06
"southsudan","Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",367676,2014-06-05
"southsudan","Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",367260,2014-06-04
"southsudan","Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",366420,2014-05-30
"southsudan","Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",365150,2014-05-29
"southsudan","Refugees from South Sudan in neighbouring countries: Pre 15 Dec 2013","Total Population & Demogrpahy",111058,2014-05-21
"southsudan","Refugees from South Sudan in neighbouring countries: Total","Total Population & Demogrpahy",489074,2014-06-06
"southsudan","Refugees from South Sudan in neighbouring countries: Total","Total Population & Demogrpahy",478734,2014-06-05
"southsudan","Refugees from South Sudan in neighbouring countries: Total","Total Population & Demogrpahy",478318,2014-06-04
"southsudan","Refugees from South Sudan in neighbouring countries: Total","Total Population & Demogrpahy",477478,2014-05-30
"southsudan","Refugees from South Sudan in neighbouring countries: Total","Total Population & Demogrpahy",476208,2014-05-29
"southsudan","Refugees in South Sudan","Total Population & Demogrpahy",239747,2014-06-09
"southsudan","Refugees in South Sudan","Total Population & Demogrpahy",239293,2014-05-31
"southsudan","Refugees in South Sudan","Total Population & Demogrpahy",238261,2014-05-19
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",194510,2014-02-15
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",301184,2014-03-27
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",174127,2014-01-30
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",175863,2014-02-04
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",266476,2014-03-14
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",292762,2014-03-21
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",294640,2014-03-22
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",476208,2014-05-29
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",109714,2013-12-17
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",109731,2013-12-18
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",109915,2013-12-24
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",176882,2014-02-06
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",191005,2014-02-10
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",289961,2014-03-19
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",297109,2014-03-24
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",298778,2014-03-25
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",309465,2014-04-01
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",249344,2014-03-03
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",311727,2014-04-04
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",111646,2014-01-02
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",310445,2014-04-03
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",262959,2014-03-10
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",318236,2014-04-28
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",116477,2014-01-11
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",198133,2014-02-20
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",303462,2014-03-30
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",312734,2014-04-05
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",149322,2014-01-19
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",310055,2014-04-02
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",317265,2014-04-27
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",110283,2013-12-27
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",110301,2013-12-28
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",158535,2014-01-26
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",248232,2014-03-02
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",312794,2014-04-06
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",313996,2014-04-08
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",320479,2014-04-29
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",113283,2014-01-06
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",113933,2014-01-07
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",175255,2014-02-03
